Method,Atom,Basis,Grid_Sph,Grid_Rad,"Energy,Ha",Iterations,DIIS,Damp_Start,Damp_End,Damp_Cutoff
TFW LDA,Na,UGBS_S,6,1000,-108.912083,284,True,0.9,0.9,9e-05
TFW LDA,Mg,UGBS_S,6,1000,-135.553609,237,True,0.9,0.9,9e-05
TFW LDA,Al,UGBS_S,6,1000,-165.669941,387,True,0.9,0.9,9e-05
TFW LDA,Si,UGBS_S,6,1000,-199.392286,517,True,0.9,0.9,9e-05
TFW LDA,P,UGBS_S,6,1000,-236.833553,342,True,0.9,0.9,9e-05
TFW LDA,S,UGBS_S,6,1000,-278.601238,575,True,0.9,0.9,9e-05
TFW LDA,Cl,UGBS_S,6,1000,-324.324636,443,True,0.9,0.9,9e-05
TFW LDA,Ar,UGBS_S,6,1000,-374.146432,239,True,0.9,0.9,9e-05
TFW LDA,K,UGBS_S,6,1000,-428.188235,444,True,0.9,0.9,9e-05
TFW LDA,Ca,UGBS_S,6,1000,-486.677236,279,True,0.9,0.9,9e-05
TFW LDA,Zn,UGBS_S,6,1000,-1334.052914,349,True,0.9,0.9,9e-05
TFW LDA,Kr,UGBS_S,6,1000,-2095.439764,1258,True,0.9,0.9,9e-05
TFW PBE,Na,UGBS_S,6,1000,-109.651463,290,True,0.9,0.9,9e-05
TFW PBE,Mg,UGBS_S,6,1000,-136.382297,180,True,0.9,0.9,9e-05
TFW PBE,Al,UGBS_S,6,1000,-166.588302,225,True,0.9,0.9,9e-05
TFW PBE,Si,UGBS_S,6,1000,-200.400917,383,True,0.9,0.9,9e-05
TFW PBE,P,UGBS_S,6,1000,-237.933265,768,True,0.9,0.9,9e-05
TFW PBE,S,UGBS_S,6,1000,-279.798321,443,True,0.9,0.9,9e-05
TFW PBE,Cl,UGBS_S,6,1000,-325.61928,362,True,0.9,0.9,9e-05
TFW PBE,Ar,UGBS_S,6,1000,-375.538832,376,True,0.9,0.9,9e-05
TFW PBE,K,UGBS_S,6,1000,-429.678591,374,True,0.9,0.9,9e-05
TFW PBE,Ca,UGBS_S,6,1000,-488.267505,260,True,0.9,0.9,9e-05
TFW PBE,Zn,UGBS_S,6,1000,-1336.686536,324,True,0.9,0.9,9e-05
TFW PBE,Kr,UGBS_S,6,1000,-2098.733095,1251,True,0.9,0.9,9e-05
TFW FA,Na,UGBS_S,6,1000,-105.226002,263,True,0.9,0.9,9e-05
TFW FA,Mg,UGBS_S,6,1000,-131.025067,316,True,0.9,0.9,9e-05
TFW FA,Al,UGBS_S,6,1000,-160.24193,327,True,0.9,0.9,9e-05
TFW FA,Si,UGBS_S,6,1000,-193.008025,370,True,0.9,0.9,9e-05
TFW FA,P,UGBS_S,6,1000,-229.434658,348,True,0.9,0.9,9e-05
TFW FA,S,UGBS_S,6,1000,-270.014427,430,True,0.9,0.9,9e-05
TFW FA,Cl,UGBS_S,6,1000,-314.492584,325,True,0.9,0.9,9e-05
TFW FA,Ar,UGBS_S,6,1000,-363.01658,241,True,0.9,0.9,9e-05
TFW FA,K,UGBS_S,6,1000,-415.710015,553,True,0.9,0.9,9e-05
TFW FA,Ca,UGBS_S,6,1000,-472.757119,287,True,0.9,0.9,9e-05
TFW FA,Cu,UGBS_S,6,1000,-1196.537708,1696,True,0.9,0.9,9e-05
TFW FA,Zn,UGBS_S,6,1000,-1302.039741,1351,True,0.9,0.9,9e-05
TFW FA,Kr,UGBS_S,6,1000,-2049.433009,3049,True,0.9,0.9,9e-05
